state_code,lga_name,serial_no,imei1,imei2
TAR,ARDO-KOLA,RT7TITAN0012975,351260180256690,351260180256708
TAR,ARDO-KOLA,RT7TITAN0013045,351260180258092,351260180258100
TAR,ARDO-KOLA,RT7TITAN0013052,351260180258233,351260180258241
TAR,ARDO-KOLA,RT7TITAN0012954,351260180256278,351260180256286
TAR,ARDO-KOLA,RT7TITAN0013066,351260180258514,351260180258522
TAR,ARDO-KOLA,RT7TITAN0012985,351260180256898,351260180256906
TAR,ARDO-KOLA,RT7TITAN0013063,351260180258456,351260180258464
TAR,ARDO-KOLA,RT7TITAN0013100,351260180259199,351260180259207
TAR,ARDO-KOLA,RT7TITAN0013046,351260180258118,351260180258126
TAR,ARDO-KOLA,RT7TITAN0013001,351260180257291,351260180257227
TAR,BALI,RT7TITAN0023737,351260180471935,351260180471943
TAR,BALI,RT7TITAN0024708,351260180493350,351260180493368
TAR,BALI,RT7TITAN0023731,351260180471810,351260180471828
TAR,BALI,RT7TITAN0024837,351260180495934,351260180495942
TAR,BALI,RT7TITAN0023702,351260180471232,351260180471240
TAR,BALI,RT7TITAN0023708,351260180471356,351260180471364
TAR,BALI,RT7TITAN0023756,351260180472313,351260180472321
TAR,BALI,RT7TITAN0024796,351260180495116,351260180495124
TAR,BALI,RT7TITAN0023638,351260180469954,351260180469962
TAR,BALI,RT7TITAN0024732,351260180493830,351260180493848
TAR,BALI,RT7TITAN0023521,351260180467610,351260180467623
TAR,DONGA,RT7TITAN0023387,351260180479771,351260180479789
TAR,DONGA,RT7TITAN0023946,351260180211497,351260180211505
TAR,DONGA,RT7TITAN0023946,351260180478112,351260180478120
TAR,DONGA,RT7TITAN0024018,351260180479557,351260180479556
TAR,DONGA,RT7TITAN0023361,351260180464419,351260180464427
TAR,DONGA,RT7TITAN0024140,351260180481991,351260180482007
TAR,DONGA,RT7TITAN0024035,351260180479896,3512601804799004
TAR,DONGA,RT7TITAN0024002,351260180479235,351260180479243
TAR,DONGA,RT7TITAN0024806,351260180495314,351260180495322
TAR,DONGA,RT7TITAN0023998,351260180479159,351260180479169
TAR,GASHAKA,RT7TITAN062895,351260180255098,351260180255106
TAR,GASHAKA,RT7TITAN003038,351260180257953,351250180257961
TAR,GASHAKA,RT7TITAN0012874,351260180254679,351266180254687
TAR,GASHAKA,RT7TITAN0012912,351260180255437,351260180255445
TAR,GASHAKA,RT7TITAN0012811,351260180253416,351260180253424
TAR,GASHAKA,RT7TITAN0013233,351260180261856,351260180261864
TAR,GASHAKA,RT71TITAN002855,351260180254299,351260180254307
TAR,GASHAKA,RT7TITAN0013021,35126080257615,351260180257623
TAR,GASHAKA,RT7TITAN0612856,351260180254315,351260180254323
TAR,GASHAKA,RT71TITAN0013093,351260180259058,351260180259066
TAR,GASSOL,RT7TITAN0024326,351260180485711,351260180485729
TAR,GASSOL,RT7TITAN0025291,351260180505013,351260180505021
TAR,GASSOL,RT7TITAN0024918,351260180497559,351260180497567
TAR,GASSOL,RT7TITAN0025295,351260180505096,351260180505104
TAR,GASSOL,RT7TITAN0024961,351260180498417,351260180498425
TAR,GASSOL,RT7TITAN0025169,351260180502572,351260180502580
TAR,GASSOL,RT7TITAN0024467,351260180488533,351260180488541
TAR,GASSOL,RT7TITAN0024872,351260180496635,351260180496643
TAR,GASSOL,RT7TITAN0024907,351260180497336,351260180497344
TAR,GASSOL,RT7TITAN0024588,351260180490950,351260180490968
TAR,GASSOL,RT7TITAN0025010,351260180499399,351260180499407
TAR,GASSOL,RT7TITAN0025059,351260180500378,351260180500386
TAR,IBI,RT7TITAN0025106,351260180501319,351260180501327
TAR,IBI,RT7TITAN0025252,351260180504230,351260180504248
TAR,IBI,RT7TITAN0025319,351260180500557,351260180505585
TAR,IBI,RT7TITAN0025509,351260180503372,351260180503380
TAR,IBI,RT7TITAN0024608,351260180501354,351260180501362
TAR,IBI,RT7TITAN0025180,351260180502796,351260180502804
TAR,IBI,RT7TITAN0025198,351260180503158,351260180503166
TAR,IBI,RT7TITAN0025107,351260180501335,351260180501343
TAR,IBI,RT7TITAN0025138,351260180501954,351260180501962
TAR,IBI,RT7TITAN0025234,351260180503877,351260180503885
TAR,KARIM LAMIDO,RT7TITAN0012989,351260180256971,351260180256989
TAR,KARIM LAMIDO,RT7TITAN0011832,351260180233830,351260180233848
TAR,KARIM LAMIDO,RT7TITAN0011862,351260180234432,351260180254440
TAR,KARIM LAMIDO,RT7TITAN0010834,351260180213873,351260180213881
TAR,KARIM LAMIDO,RT7TITAN0010845,351260180214095,351260180214103
TAR,KARIM LAMIDO,RT7TITAN0011851,351260180234218,351260180234226
TAR,KARIM LAMIDO,RT7TITAN0012850,351260180264190,351260180254208
TAR,KARIM LAMIDO,RT7TITAN001278,351260180253150,351260180253168
TAR,KARIM LAMIDO,RT7TITAN0023443,351260180466059,351260180466067
TAR,KARIM LAMIDO,RT7TITAN0011849,351260180234176,351260180234184
TAR,KARIM LAMIDO,RT7TITAN0023609,351260180469376,351260180469384
TAR,KURMI,RT7TITAN0010671,351260180210614,351260180210622
TAR,KURMI,RT7TITAN0010715,351260180211497,351260180211505
TAR,KURMI,RT7TITAN0011684,351260180230877,351260180230885
TAR,KURMI,RT7TITAN0010667,351260180210531,351260180210549
TAR,KURMI,RT7TITAN0011951,351260180236213,351260180236221
TAR,KURMI,RT7TITAN0012004,351260180237278,351260180237286
TAR,KURMI,RT7TITAN0012003,351260180237252,351260180237260
TAR,KURMI,RT7TITAN0011981,351260180236817,351260180236825
TAR,KURMI,RT7TITAN0011012,351260180217437,351260180217445
TAR,KURMI,RT7TITAN0011980,351260180236791,351260180236809
TAR,SARDAUNA,RT7TITAN0012861,351260180254414,351260180254422
TAR,SARDAUNA,RT7TITAN0023645,351260180470093,351260180470101
