name,state_name,lga_code
GUDU,SOK,SOK-GUD
BINJI,SOK,SOK-BIN
TANGAZA,SOK,SOK-TAN
GWADABAWA,SOK,SOK-GWA
ILLELA,SOK,SOK-ILL
GADA,SOK,SOK-GAD
SABON BIRNI,SOK,SOK-SAB
ISA,SOK,SOK-ISA
GORONYO,SOK,SOK-GOR
WURNO,SOK,SOK-WUR
RABAH,SOK,SOK-RAB
KWARE,SOK,SOK-KWA
SOKOTO SOUTH,SOK,SOK-SOU
SOKOTO NORTH,SOK,SOK-NOO
WAMAKKO,SOK,SOK-WAM
SILAME,SOK,SOK-SIL
YABO,SOK,SOK-YAB
BODINGA,SOK,SOK-BOD
DANGE SHUNI,SOK,SOK-DAN
TURETA,SOK,SOK-TUR
SHAGARI,SOK,SOK-SHA
TAMBUWAL,SOK,SOK-TAM
KEBBE,SOK,SOK-KEB
GUMMI,ZAM,ZAM-GUM
BUKKUYUM,ZAM,ZAM-BUK
ANKA,ZAM,ZAM-ANK
BAKURA,ZAM,ZAM-BAK
TALATA MAFARA,ZAM,ZAM-TAL
MARADUN,ZAM,ZAM-MAN
SHINKAFI,ZAM,ZAM-SHI
ZURMI,ZAM,ZAM-ZUR
BIRNIN MAGAJI,ZAM,ZAM-BIR
KAURA NAMODA,ZAM,ZAM-KAU
TSAFE,ZAM,ZAM-TSA
GUSAU,ZAM,ZAM-GUS
BUNGUDU,ZAM,ZAM-BUN
MARU,ZAM,ZAM-MAU
BAURE,KAT,KAT-BAU
ZANGO,KAT,KAT-ZAN
SANDAMU,KAT,KAT-SAN
DUTSI,KAT,KAT-DUI
DAURA,KAT,KAT-DAU
MAI'ADUA,KAT,KAT-MAI
MASHI,KAT,KAT-MAS
KAITA,KAT,KAT-KAI
KATSINA,KAT,KAT-KAT
JIBIA,KAT,KAT-JIB
BATSARI,KAT,KAT-BAT
BATAGARAWA,KAT,KAT-BAG
RIMI,KAT,KAT-RIM
MANI,KAT,KAT-MAN
INGAWA,KAT,KAT-ING
KUSADA,KAT,KAT-KUS
BINDAWA,KAT,KAT-BIN
CHARANCHI,KAT,KAT-CHA
KURFI,KAT,KAT-KUR
SAFANA,KAT,KAT-SAF
DUTSIN-MA,KAT,KAT-DUM
KANKIA,KAT,KAT-KAA
MATAZU,KAT,KAT-MAT
DAN MUSA,KAT,KAT-DAM
KANKARA,KAT,KAT-KA1
MUSAWA,KAT,KAT-MUS
MALUMFASHI,KAT,KAT-MAL
KAFUR,KAT,KAT-KAF
BAKORI,KAT,KAT-BAK
FASKARI,KAT,KAT-FAS
SABUWA,KAT,KAT-SAB
DANDUME,KAT,KAT-DAE
FUNTUA,KAT,KAT-FUN
DANJA,KAT,KAT-DAA
RONI,JIG,JIG-RON
GWIWA,JIG,JIG-GWI
YANKWASHI,JIG,JIG-YAN
KAZAURE,JIG,JIG-KAZ
BABURA,JIG,JIG-BAB
GARKI,JIG,JIG-GAR
SULE TANKARKAR,JIG,JIG-SUL
GUMEL,JIG,JIG-GUM
GAGARAWA,JIG,JIG-GAG
MAIGATARI,JIG,JIG-MAI
KAUGAMA,JIG,JIG-KAU
MALAM MADORI,JIG,JIG-MAL
BIRNIWA,JIG,JIG-BIA
GURI,JIG,JIG-GUR
KIRIKASAMMA,JIG,JIG-KIR
HADEJIA,JIG,JIG-HAD
AUYO,JIG,JIG-AUY
KAFIN-HAUSA,JIG,JIG-KAF
MIGA,JIG,JIG-MIG
TAURA,JIG,JIG-TAU
RINGIM,JIG,JIG-RIN
JAHUN,JIG,JIG-JAH
KIYAWA,JIG,JIG-KIY
DUTSE,JIG,JIG-DUT
BIRNIN KUDU,JIG,JIG-BIK
BUJI,JIG,JIG-BUJ
GWARAM,JIG,JIG-GWA
KUNCHI,KAN,KAN-KUN
MAKODA,KAN,KAN-MAK
DAMBATTA,KAN,KAN-DAM
GABASAWA,KAN,KAN-GAB
MINJIBIR,KAN,KAN-MIN
DAWAKIN TOFA,KAN,KAN-DAT
BICHI,KAN,KAN-BIC
TSANYAWA,KAN,KAN-TSA
SHANONO,KAN,KAN-SHA
BAGWAI,KAN,KAN-BAG
TOFA,KAN,KAN-TOF
UNGOGO,KAN,KAN-UNG
GWALE,KAN,KAN-GWE
DALA,KAN,KAN-DAL
FAGGE,KAN,KAN-FAG
NASARAWA,KAN,KAN-NAS
KANO MUNICIPAL,KAN,KAN-KAN
TARAUNI,KAN,KAN-TAR
KUMBOTSO,KAN,KAN-KUM
GEZAWA,KAN,KAN-GEZ
WARAWA,KAN,KAN-WAR
AJINGI,KAN,KAN-AJI
GAYA,KAN,KAN-GAY
WUDIL,KAN,KAN-WUD
DAWAKIN KUDU,KAN,KAN-DAK
MADOBI,KAN,KAN-MAD
RIMIN GADO,KAN,KAN-RIM
KABO,KAN,KAN-KAB
GWARZO,KAN,KAN-GWO
KARAYE,KAN,KAN-KAR
ROGO,KAN,KAN-ROG
KIRU,KAN,KAN-KIR
BEBEJI,KAN,KAN-BEB
