state_code,lga_code,name,code
SOK,SOK-GUD,AWULKITI,SOK-GUD-07
SOK,SOK-GUD,MARAKEN BORI,SOK-GUD-09
SOK,SOK-GUD,BALLE,SOK-GUD-06
SOK,SOK-GUD,KURDULA,SOK-GUD-05
SOK,SOK-GUD,TULUN DOYA,SOK-GUD-10
SOK,SOK-GUD,GWAZANGE/BOTO,SOK-GUD-04
SOK,SOK-GUD,KARFEN SARKI,SOK-GUD-01
SOK,SOK-GUD,KARFEN CHANA,SOK-GUD-08
SOK,SOK-GUD,CHILAS/MAKUYA,SOK-GUD-02
SOK,SOK-GUD,BACHAKA,SOK-GUD-03
SOK,SOK-BIN,GAWAZZAI,SOK-BIN-03
SOK,SOK-BIN,JAMALI,SOK-BIN-05
SOK,SOK-BIN,TUDUN KOSE,SOK-BIN-10
SOK,SOK-BIN,BINJI,SOK-BIN-01
SOK,SOK-BIN,INNAME,SOK-BIN-04
SOK,SOK-BIN,SAMAMA,SOK-BIN-07
SOK,SOK-BIN,MAIKULKI,SOK-BIN-06
SOK,SOK-BIN,BUNKARI,SOK-BIN-02
SOK,SOK-BIN,SORON GABAS,SOK-BIN-09
SOK,SOK-BIN,SORO YAMMA,SOK-BIN-08
SOK,SOK-TAN,RUWA WURI,SOK-TAN-02
SOK,SOK-TAN,SAKKWAI,SOK-TAN-10
SOK,SOK-TAN,SALEWA,SOK-TAN-04
SOK,SOK-TAN,MAGONHO,SOK-TAN-09
SOK,SOK-TAN,TANGAZA,SOK-TAN-01
SOK,SOK-TAN,RAKA,SOK-TAN-03
SOK,SOK-TAN,SUTTI,SOK-TAN-06
SOK,SOK-TAN,GIDAN MADI,SOK-TAN-05
SOK,SOK-TAN,KALANJENI,SOK-TAN-08
SOK,SOK-TAN,KWACCE HURU,SOK-TAN-07
SOK,SOK-GWA,ASARA AREWA,SOK-GWA-01
SOK,SOK-GWA,GIGANE,SOK-GWA-07
SOK,SOK-GWA,ASARA KUDU,SOK-GWA-02
SOK,SOK-GWA,SALAME,SOK-GWA-11
SOK,SOK-GWA,MAMMANDE,SOK-GWA-10
SOK,SOK-GWA,HUCHI,SOK-GWA-09
SOK,SOK-GWA,CHIMOLA AREWA,SOK-GWA-05
SOK,SOK-GWA,CHIMMOLA KUDU,SOK-GWA-04
SOK,SOK-GWA,GIDAN KAYA,SOK-GWA-06
SOK,SOK-GWA,GWADABAWA,SOK-GWA-08
SOK,SOK-GWA,ATAKWANYO,SOK-GWA-03
SOK,SOK-ILL,KALMALO,SOK-ILL-09
SOK,SOK-ILL,ILLELA,SOK-ILL-08
SOK,SOK-ILL,ARABA,SOK-ILL-01
SOK,SOK-ILL,RUNGUMAWA GATTI,SOK-ILL-10
SOK,SOK-ILL,TOZAI,SOK-ILL-11
SOK,SOK-ILL,GIDAN HAMMA,SOK-ILL-06
SOK,SOK-ILL,DARNA TSOLAWO,SOK-ILL-04
SOK,SOK-ILL,DARNA SABON GARI,SOK-ILL-03
SOK,SOK-ILL,GARU,SOK-ILL-05
SOK,SOK-ILL,GIDAN KATTA,SOK-ILL-07
SOK,SOK-ILL,DAMBA,SOK-ILL-02
SOK,SOK-GAD,KADADI,SOK-GAD-04
SOK,SOK-GAD,KYADAWA-HOLAI,SOK-GAD-10
SOK,SOK-GAD,GADA,SOK-GAD-01
SOK,SOK-GAD,ILA/DUKAMAJE,SOK-GAD-03
SOK,SOK-GAD,GILBADI,SOK-GAD-02
SOK,SOK-GAD,TSITSE,SOK-GAD-11
SOK,SOK-GAD,KADDI,SOK-GAD-06
SOK,SOK-GAD,KAFFE,SOK-GAD-07
SOK,SOK-GAD,KWARMA,SOK-GAD-09
SOK,SOK-GAD,KADASAKA,SOK-GAD-05
SOK,SOK-GAD,KIRI,SOK-GAD-08
SOK,SOK-SAB,TSAMAYE,SOK-SAB-10
SOK,SOK-SAB,UNGUWAR LALLE,SOK-SAB-11
SOK,SOK-SAB,LAJINGE,SOK-SAB-05
SOK,SOK-SAB,MAKUWANA,SOK-SAB-06
SOK,SOK-SAB,KURAWA,SOK-SAB-04
SOK,SOK-SAB,S-BIRNI WEST,SOK-SAB-08
SOK,SOK-SAB,S-BIRNI EAST,SOK-SAB-07
SOK,SOK-SAB,TARA,SOK-SAB-09
SOK,SOK-SAB,GATAWA,SOK-SAB-02
SOK,SOK-SAB,GANGARA,SOK-SAB-01
SOK,SOK-SAB,KALGO,SOK-SAB-03
SOK,SOK-ISA,TIDIBALE,SOK-ISA-05
SOK,SOK-ISA,TSABREN SARKIN DARAI,SOK-ISA-04
SOK,SOK-ISA,TURBA,SOK-ISA-05
SOK,SOK-ISA,ISA NORTH,SOK-ISA-02
SOK,SOK-ISA,ISA SOUTH,SOK-ISA-03
SOK,SOK-ISA,BARGAJA,SOK-ISA-01
SOK,SOK-ISA,TOZAI,SOK-ISA-08
SOK,SOK-ISA,GEBE  B,SOK-ISA-10
SOK,SOK-ISA,YANFAKO,SOK-ISA-07
SOK,SOK-ISA,GEBE  A,SOK-ISA-09
SOK,SOK-GOR,KWAKWAZO,SOK-GOR-07
SOK,SOK-GOR,SHINAKA,SOK-GOR-10
SOK,SOK-GOR,BIRJINGO,SOK-GOR-01
SOK,SOK-GOR,TAKAKUME,SOK-GOR-11
SOK,SOK-GOR,RIMAWA,SOK-GOR-08
SOK,SOK-GOR,GORONYO,SOK-GOR-04
SOK,SOK-GOR,KOJIYO,SOK-GOR-06
SOK,SOK-GOR,BOYEKA I,SOK-GOR-02
SOK,SOK-GOR,KAGARA,SOK-GOR-05
SOK,SOK-GOR,S-GARI DOLE-DAN-TASAKKO,SOK-GOR-09
SOK,SOK-GOR,GIYAWA,SOK-GOR-03
SOK,SOK-WUR,DIMBISO,SOK-WUR-05
SOK,SOK-WUR,KWARGABA,SOK-WUR-07
